0,22;1;1;1;27092018;15;2;0;1;0;1;77;2;3;0;0;1;16072018;1;2;4;4;3;4;1;4;1;1;4;4;4;1;4;2;4;4;4;4;1;4;4;4;4;1;4;1;4;1;4;4;4;1;4;1;1;1;1;4;4;4;4
0,23;1;1;1;27092018;20;2;0;1;0;1;69;2;5;0;0;1;11052016;1;2;1;3;3;3;4;1;1;4;1;1;4;3;4;3;4;1;1;4;4;1;4;4;3;4;2;4;1;4;4;1;2;2;4;1;1;1;4;4;4;2;1
0,24;1;1;1;20112018;10;1;0;1;0;1;54;2;3;0;0;1;2112017;1;2;2;3;1;2;4;1;1;1;4;3;3;2;4;1;3;1;1;4;1;1;3;4;2;4;2;3;1;4;4;2;3;3;3;1;2;4;4;4;4;2;2
0,25;1;1;1;0;0;2;0;1;0;2;72;4;3;0;0;1;29052018;1;1;1;2;1;3;1;1;4;1;4;4;4;2;3;4;2;1;1;4;4;1;4;4;1;3;1;4;1;2;4;1;1;1;4;1;3;2;3;2;4;1;1
0,26;1;1;1;22112018;10;2;0;1;0;2;72;2;4;0;0;1;5122016;1;3;2;2;2;2;4;3;3;4;4;3;3;2;3;3;4;1;3;4;4;1;3;3;1;3;1;3;1;2;3;2;2;2;3;2;3;2;4;3;3;2;2
0,27;1;1;0;0;0;3;0;1;0;2;60;2;4;0;0;1;14112016;2;0;2;2;2;3;3;1;3;1;4;3;3;1;3;2;3;2;1;3;3;1;3;3;2;3;1;3;2;2;3;3;3;2;3;1;2;2;4;3;3;2;2
0,28;1;1;0;0;0;3;0;2;0;2;50;0;8;0;0;1;4042018;1;0;4;4;4;4;4;1;1;1;4;3;3;4;4;0;4;3;1;4;4;1;4;4;3;4;3;3;2;4;4;4;3;3;4;3;3;4;4;4;4;3;3
0,29;1;1;0;0;0;3;0;2;0;2;78;2;2;0;0;1;21052018;1;0;0;4;1;1;4;1;1;1;4;4;4;4;3;0;0;0;1;3;4;1;1;4;1;4;4;0;1;4;4;2;4;1;4;1;2;1;2;4;4;4;1
0,3;1;1;1;0;0;2;0;1;0;2;69;2;5;0;0;1;19102018;1;1;1;1;1;1;2;1;1;1;4;2;3;1;4;1;0;4;1;4;1;1;4;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;4;1;4;1;1
0,31;1;1;1;6122018;10;2;0;1;0;2;52;1;4;0;0;1;22022018;1;3;1;2;1;2;3;2;3;2;3;3;3;3;3;2;3;1;2;3;3;1;3;2;2;3;1;4;2;2;4;1;2;4;2;2;3;2;4;3;4;2;2
